S-10B Google 0 41.899 S:30, I:2, D:44
S-10B Kaldi 0 24.022 S:21, I:2, D:21

S-10B Google 1 37.979 S:64, I:4, D:42
S-10B Kaldi 1 22.997 S:48, I:2, D:17

S-10B Google 2 28.701 S:52, I:2, D:42
S-10B Kaldi 2 19.637 S:41, I:4, D:21

S-10B Google 3 28.859 S:48, I:2, D:37
S-10B Kaldi 3 20.47 S:44, I:2, D:16

S-10B Google 4 31.32 S:85, I:2, D:54
S-10B Kaldi 4 21.029 S:67, I:4, D:24

S-10B Google 5 25.446 S:60, I:9, D:46
S-10B Kaldi 5 16.741 S:49, I:11, D:16

S-10B Google 6 28.659 S:26, I:0, D:22
S-10B Kaldi 6 18.293 S:14, I:2, D:15

S-10B Google 7 30.126 S:54, I:2, D:17
S-10B Kaldi 7 23.013 S:38, I:0, D:18

S-10B Google 8 27.734 S:49, I:0, D:23
S-10B Kaldi 8 17.188 S:27, I:4, D:14

S-21A Google 0 65.649 S:73, I:0, D:100
S-21A Kaldi 0 45.802 S:66, I:1, D:54

S-21A Google 1 58.545 S:62, I:0, D:100
S-21A Kaldi 1 38.909 S:64, I:1, D:43

S-21A Google 2 61.616 S:45, I:1, D:77
S-21A Kaldi 2 37.374 S:49, I:5, D:21

S-21A Google 3 61.745 S:129, I:0, D:148
S-21A Kaldi 3 37.136 S:86, I:4, D:77

S-21A Google 4 61.988 S:142, I:1, D:176
S-21A Kaldi 4 43.47 S:127, I:9, D:88

S-21A Google 5 63.406 S:80, I:2, D:94
S-21A Kaldi 5 41.304 S:57, I:2, D:56

S-21A Google 6 60.0 S:22, I:0, D:42
S-21A Kaldi 6 40.952 S:18, I:0, D:26

S-21A Google 7 55.263 S:8, I:0, D:14
S-21A Kaldi 7 28.947 S:8, I:0, D:4

S-21A Google 8 41.463 S:7, I:0, D:11
S-21A Kaldi 8 21.951 S:5, I:2, D:3

S-21A Google 9 68.182 S:13, I:0, D:18
S-21A Kaldi 9 45.455 S:10, I:0, D:11

S-21A Google 10 48.634 S:40, I:0, D:50
S-21A Kaldi 10 28.962 S:29, I:1, D:24

S-21A Google 11 62.778 S:44, I:0, D:70
S-21A Kaldi 11 46.667 S:39, I:0, D:46

S-7C Google 0 32.036 S:116, I:9, D:90
S-7C Kaldi 0 22.156 S:100, I:9, D:40

S-7C Google 1 37.856 S:108, I:7, D:59
S-7C Kaldi 1 24.508 S:81, I:14, D:18

S-7C Google 2 29.368 S:83, I:2, D:74
S-7C Kaldi 2 22.119 S:82, I:15, D:23

S-7C Google 3 40.796 S:113, I:5, D:129
S-7C Kaldi 3 27.363 S:98, I:3, D:65

S-7C Google 4 34.411 S:75, I:1, D:74
S-7C Kaldi 4 25.173 S:60, I:11, D:39

S-7C Google 5 36.378 S:103, I:5, D:120
S-7C Kaldi 5 24.519 S:100, I:12, D:42

S-19C Google 0 54.839 S:60, I:1, D:59
S-19C Kaldi 0 39.171 S:49, I:12, D:25

S-19C Google 1 64.583 S:10, I:0, D:53
S-19C Kaldi 1 50.0 S:29, I:1, D:19

S-19C Google 2 46.725 S:53, I:2, D:53
S-19C Kaldi 2 28.821 S:41, I:5, D:21

S-19C Google 3 60.484 S:36, I:1, D:39
S-19C Kaldi 3 45.161 S:36, I:2, D:19

S-19C Google 4 52.06 S:71, I:2, D:67
S-19C Kaldi 4 32.21 S:51, I:2, D:34

S-19C Google 5 56.79 S:42, I:2, D:49
S-19C Kaldi 5 45.062 S:42, I:7, D:25

S-19C Google 6 44.444 S:22, I:0, D:23
S-19C Kaldi 6 38.384 S:23, I:5, D:11

S-19C Google 7 37.879 S:15, I:1, D:10
S-19C Kaldi 7 34.848 S:18, I:3, D:3

S-19C Google 8 28.986 S:10, I:0, D:11
S-19C Kaldi 8 20.29 S:12, I:0, D:3

S-19C Google 9 49.383 S:18, I:0, D:23
S-19C Kaldi 9 41.975 S:18, I:1, D:16

S-19C Google 10 39.394 S:5, I:0, D:9
S-19C Kaldi 10 15.152 S:3, I:1, D:2

S-19C Google 11 58.73 S:19, I:0, D:19
S-19C Kaldi 11 55.556 S:25, I:1, D:10

S-27C Google 0 39.241 S:67, I:0, D:89
S-27C Kaldi 0 21.772 S:51, I:6, D:30

S-27C Google 1 29.206 S:31, I:2, D:60
S-27C Kaldi 1 15.873 S:26, I:7, D:18

S-27C Google 2 36.39 S:38, I:2, D:88
S-27C Kaldi 2 15.473 S:38, I:4, D:13

S-27C Google 3 35.87 S:52, I:8, D:106
S-27C Kaldi 3 19.565 S:50, I:11, D:30

S-27C Google 4 35.459 S:95, I:1, D:133
S-27C Kaldi 4 15.863 S:57, I:6, D:40

S-27C Google 5 33.128 S:132, I:4, D:187
S-27C Kaldi 5 21.399 S:125, I:10, D:74

S-27C Google 6 37.662 S:17, I:0, D:42
S-27C Kaldi 6 21.429 S:15, I:2, D:17

S-27C Google 7 24.528 S:4, I:0, D:10
S-27C Kaldi 7 9.434 S:3, I:0, D:3

S-27C Google 8 45.361 S:21, I:0, D:24
S-27C Kaldi 8 27.835 S:18, I:3, D:7

S-27C Google 9 34.259 S:11, I:2, D:25
S-27C Kaldi 9 20.37 S:13, I:3, D:7

S-27C Google 10 40.0 S:7, I:0, D:12
S-27C Kaldi 10 28.889 S:8, I:0, D:6

S-27C Google 11 44.118 S:14, I:1, D:31
S-27C Kaldi 11 25.49 S:12, I:0, D:15

S-23C Google 0 30.909 S:26, I:0, D:26
S-23C Kaldi 0 18.788 S:24, I:1, D:7

S-23C Google 1 44.878 S:48, I:1, D:44
S-23C Kaldi 1 31.707 S:44, I:3, D:19

S-23C Google 2 41.573 S:40, I:7, D:28
S-23C Kaldi 2 33.708 S:27, I:16, D:18

S-23C Google 3 55.963 S:69, I:1, D:53
S-23C Kaldi 3 40.826 S:65, I:3, D:22

S-23C Google 4 45.228 S:95, I:1, D:123
S-23C Kaldi 4 26.971 S:82, I:3, D:46

S-23C Google 5 34.471 S:37, I:1, D:64
S-23C Kaldi 5 21.843 S:35, I:4, D:26

S-23C Google 6 32.558 S:3, I:0, D:12
S-23C Kaldi 6 16.279 S:5, I:0, D:3

S-23C Google 7 30.556 S:16, I:0, D:7
S-23C Kaldi 7 15.278 S:10, I:0, D:2

S-23C Google 8 36.364 S:15, I:1, D:17
S-23C Kaldi 8 30.682 S:17, I:3, D:8

S-23C Google 9 28.0 S:6, I:0, D:2
S-23C Kaldi 9 24.0 S:5, I:2, D:0

S-23C Google 10 60.417 S:13, I:0, D:17
S-23C Kaldi 10 27.083 S:13, I:0, D:1

S-23C Google 11 43.624 S:32, I:1, D:33
S-23C Kaldi 11 21.477 S:22, I:0, D:11

S-6B Google 0 53.846 S:40, I:1, D:37
S-6B Kaldi 0 41.958 S:44, I:3, D:14

S-6B Google 1 42.512 S:46, I:1, D:42
S-6B Kaldi 1 31.401 S:45, I:6, D:15

S-6B Google 2 30.556 S:48, I:1, D:40
S-6B Kaldi 2 14.931 S:25, I:2, D:17

S-6B Google 3 40.404 S:42, I:0, D:39
S-6B Kaldi 3 23.737 S:30, I:6, D:12

S-6B Google 4 27.804 S:64, I:3, D:53
S-6B Kaldi 4 17.523 S:49, I:9, D:18

S-6B Google 5 27.459 S:65, I:6, D:64
S-6B Kaldi 5 10.656 S:28, I:6, D:19

S-5A Google 0 53.07 S:104, I:1, D:138
S-5A Kaldi 0 35.526 S:111, I:14, D:38

S-5A Google 1 48.718 S:44, I:1, D:70
S-5A Kaldi 1 29.487 S:44, I:4, D:22

S-5A Google 2 43.888 S:138, I:6, D:155
S-5A Kaldi 2 29.013 S:115, I:20, D:63

S-5A Google 3 42.0 S:60, I:1, D:87
S-5A Kaldi 3 23.714 S:50, I:6, D:28

